Violine;instruments;Hohes Streichinstrument
Viola;instruments;Streichinstrument im Bereich des Alt
Violoncello;instruments;Streichinstrument im Bereich des Tenors
Kontrabass;instruments;Sehr tiefes, in Quarten gestimmtes,Streichinstrument
Große Flöte;instruments;ähnlich einer Blockflöte mit größeren Stimmumfang
Piccoloflöte;instruments;Sehr kleine und hohe Flöte.
Oboe;instruments;Holzblasinstrument mit Rohrblatt
Fagott;instruments;Tiefes Holzblasinstrument mit Rohrblatt
Klarinette;instruments;Holzblasinstrument mit Rohrblatt
Waldhorn;instruments;Blechblasinstrument
Posaune;instruments;Blechblasinstrument
Tuba;instruments;Tiefes Blechblasinstrument
Englisches Horn;instruments;Blasinstrument mit Rohrblatt
Trompete;instruments;Blechblasinstrument
Saxophon;instruments;Blechblasinstrument
Gitarre;instruments;Saiteninstrument, das gezupft wird.
Harfe;instruments;Saiteninstrument, das gezupft wird (oft in Ces Dur gestimmt).
Pauken;instruments;Schlaginstrument mit bestimmbarer Tonhöhe
Glockenspiel;instruments;Schlaginstrument mit bestimmbarer Tonhöhe
Celesta;instruments;Schlaginstrument mit bestimmbarer Tonhöhe
Trommel;instruments;Schlaginstrument mit unbestimmbarer Tonhöhe
Becken;instruments;Schlaginstrument mit unbestimmbarer Tonhöhe
Tamburin;instruments;Schlaginstrument mit unbestimmbarer Tonhöhe
Triangel;instruments;Schlaginstrument mit unbestimmbarer Tonhöhe
Orgel;instruments;Tasteninstrument
Pianoforte;instruments;Tasteninstrument mit 88 Tasten
Cembalo;instruments;barockes Tasteninstrument, dessen Saiten gerissen werden.
Clavichord;instruments;barockes Tasteinstrument
Singstimme;instruments;Wird im Chor verwendet
E-Bass;instruments;Elektronisches Bassinstrument mit gezupften Saiten.
